序号,砖型,砖数,重量,,,,,,7.8,7.9,7.10,7.11,7.12,7.13,7.14,7.15,7.16,7.17,7.18,7.19,7.20,7.21,7.22,7.23,7.24,7.25,7.26,7.27,7.28,
1,ZD00,2,662,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2,ZD01,10,293,,,,,,,,10,,,,,,,,,,,,,,,,,,,
3,ZD02,14,329,,,,,,,,,,,,,,,14,,,,,,,,,,,,
4,ZD03,18,349,,,,,,,,,,,,,,,18,,,,,,,,,,,,
5,ZD04,22,362,,,,,,,,,,,,,,,22,,,,,,,,,,,,
6,ZD05,26,371,,,,,,,,,,,,,,18,8,,,,,,,,,,,,
7,ZD06,30,437,,,,,,,,,,,,,,30,,,,,,,,,,,,,
8,ZD07,34,505,,,,,,,,,,,,8,,26,,,,,,,,,,,,,
9,ZD08,40,582,,,,,,,,,,8,20,12,,,,,,,,,,,,,,,
10,ZD09,40,416,,,,,,,,8,20,12,,,,,,,,,,,,,,,,,
11,ZB01,2,902,,,,,,,,,,,,,,,,,,2,,,,,,,,,
12,ZB02,4,763,,,,,,,,,,,,,,,,,,4,,,,,,,,,
13,ZB03R,2,893,,,,,,,,,,,,,,,,,,2,,,,,,,,,
14,ZB03L,2,893,,,,,,,,,,,,,,,,,,2,,,,,,,,,
15,ZB04R,2,738,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
16,ZB04L,2,738,,,,,,,,,,,,,,,,,,2,,,,,,,,,
17,ZB05,20,821,,,,,,,,,,,,,,,,,,8,12,,,,,,,,
18,ZB06,18,716,,,,,,,,,,,,,,,,,,,18,,,,,,,,
19,ZB07,4,506,,,,,,,,,,,,,,,,,,,4,,,,,,,,
20,ZB08,8,829,,,,,,,,,,,,,,,,,,,8,,,,,,,,
21,ZB09R,4,801,,,,,,,,,,,,,,,,,,,,,4,,,,,,
22,ZB09L,4,801,,,,,,,,,,,,,,,,,,,,,4,,,,,,
23,ZB10R,4,702,,,,,,,,,,,,,,,4,,,,,,,,,,,,
24,ZB10L,4,702,,,,,,,,,,,,,,,,,,4,,,,,,,,,
25,ZB11,76,631,,,,,,,,,,,,,,,,,,,,,42,34,,,,,
26,ZB12,2,730,,,,,,,,,,,,,,,2,,,,,,,,,,,,
27,ZB13,2,437,,,,,,,,,,,,,,,2,,,,,,,,,,,,
28,ZB14,4,760,,,,,,,,,,,,,,,4,,,,,,,,,,,,
29,ZB15R,2,604,,,,,,,,,,,,,,,,2,,,,,,,,,,,
30,ZB15L,2,604,,,,,,,,,,,,,,,,2,,,,,,,,,,,
31,ZB16R,2,658,,,,,,,,,,,,,,,,2,,,,,,,,,,,
32,ZB16L,2,658,,,,,,,,,,,,,,,,2,,,,,,,,,,,
33,ZB17,20,488,,,,,,,,,,,,,,,,20,,,,,,,,,,,
34,ZB18,18,594,,,,,,,,,,,,,,,,18,,,,,,,,,,,
35,ZB19,26,584,,,,,,,,,,,,,,,,12,14,,,,,,,,,,
36,ZB20,26,533,,,,,,,,,,,,,,,,,26,,,,,,,,,,
37,ZB21,26,386,,,,,,,,,,,,,,,,,26,,,,,,,,,,
38,ZB22,26,430,,,,,,,,,,,,,,,,,,26,,,,,,,,,
39,ZF01,72,501,,,,,,,,,,,,,,,1,,,,,,,22,49,,,,
40,ZF02,72,521,,,,,,,,,,,,,,,,,,,,,,,14,58,,,
41,ZF03,24,1077,,,,,,,,,,,,,,,,,,,,,,,,,24,,
42,ZF04,24,572,,,,,,,,,,,,,,,,,,14,,,,,,,10,,
43,ZF05,24,712,,,,,,,,,,,,,,,,,,,,,,,,,,24,
44,ZF06,48,310,,,,,,,,,,,,,,,,,,,,,,,,,,28,
45,ZF07,48,233,,,,,,,,,,,,,,,,,,,,,,,,,,,
