Generation,BestFitness,ActualDays
0,151,18
1,151,18
2,151,18
3,151,18
4,151,18
5,151,18
6,151,18
7,151,18
8,151,18
9,151,18
10,151,18
11,151,18
12,151,18
13,151,18
14,151,18
15,151,18
16,151,18
17,151,18
18,151,18
19,151,18
20,151,18
21,151,18
22,151,18
23,151,18
24,145,18
25,145,18
26,145,18
27,145,18
28,145,18
29,145,18
30,145,18
31,145,18
32,145,18
33,145,18
34,145,18
35,145,18
36,145,18
37,145,18
38,145,18
39,145,18
40,145,18
41,145,18
42,145,18
43,145,18
44,145,18
45,145,18
46,145,18
47,145,18
48,145,18
49,145,18
